s0,fce,Area_AGR,Area_URB
11.19,0.99,2.19,0.02
8.9,0.99,6.94,0.00
9.73,0.75,0.03,0.00
10.51,0.75,0.02,0.00
11.36,0.75,0.00,0.00
10.97,0.75,8.02,0.13
9.07,0.99,6.94,0.26
11.37,0.98,1.46,0.00
10.92,0.98,7.47,0.10
11.03,0.98,11.32,0.02
11.87,0.98,27.73,0.01
11,0.99,5.30,0.19
11.83,0.75,0.00,0.00
11.03,0.75,20.70,0.15
9.55,0.75,0.00,0.00
10.7,0.75,0.04,0.00
11.44,0.75,0.00,0.00
12.33,0.75,0.00,0.00
11.49,0.97,25.60,0.18
11.92,0.75,13.30,0.22
11.83,0.8,0.21,0.00
11.24,0.95,16.33,0.55
11.24,0.75,0.21,0.00
12.65,0.75,4.41,0.00
10.6,0.99,26.64,1.46
10.62,0.97,33.42,2.06
13.01,0.75,1.79,0.00
10.32,0.99,31.01,0.22
11.23,0.99,44.68,0.19
11.54,0.99,31.28,1.19
10.85,0.99,13.66,0.51
10.27,0.99,45.11,5.49
11.14,0.99,31.12,0.17
11.58,0.96,45.66,0.80
10.08,0.9,18.69,0.88
12.18,0.8,60.12,3.17
10.65,0.85,60.27,1.96
9.49,0.9,39.01,12.32
7.33,0.9,12.81,14.73
9.55,0.9,2.56,0.62
10.73,0.9,27.09,1.18
10.35,0.9,17.14,0.93
12.48,0.75,25.42,0.30
11.08,0.95,39.89,0.80
10.62,0.96,23.78,0.98
12.57,0.9,15.54,0.00
11.64,0.96,0.98,0.00
11.4,0.9,5.07,0.06
11.56,0.95,7.65,0.14
11.95,0.93,22.23,1.32
13.79,0.9,30.44,0.03
12.05,0.85,28.46,0.27
9.97,0.85,16.04,0.15
12.82,0.9,19.50,0.40
13.11,0.9,0.22,0.04
10.91,0.75,13.80,0.05
11.45,0.85,26.24,0.37
11.44,0.9,11.88,0.25
10.79,0.9,28.34,0.18
13.65,0.9,15.78,0.47
14.35,0.9,84.90,2.85
13.38,0.75,11.49,0.00
12.59,0.75,1.25,0.00
13.77,0.75,1.67,0.00
11.14,0.75,64.13,0.22
13.23,0.75,12.34,0.05
14.28,0.99,13.85,1.75
14.17,0.75,4.00,0.00
11.75,0.75,12.96,0.05
11.19,0.75,2.76,0.00
10.02,0.9,0.00,0.00
12.79,0.99,0.64,0.00
11.66,0.99,8.72,0.03
11.8,0.87,42.34,0.81
14.33,0.7,2.61,0.00
12.74,0.9,1.22,0.00
