id,inic,fin,tipo,tret,pri,QT1,QT2,QT3,QT4,VA_min,VA_max
DAM1,34,19,ACU_1,0.50,3,0.06,0.06,0.06,0.06,0.1,0.3
DEP1,37,38,ENE_1,0.50,2,0.42,0.42,0.42,0.42,0.1,0.3
DEP2,24,20,ENE_1,0.50,2,0.46,0.46,0.46,0.46,0.1,0.3
DEP3,50,47,ENE_1,0.50,2,4.50,4.50,4.50,4.50,0.1,0.3
DEP4,37,38,ENE_1,0.50,2,0.43,0.43,0.43,0.43,0.1,0.3
DHM1,46,45,HUM_1,0.50,1,0.05,0.05,0.05,0.05,0.1,0.3
DHM10,60,59,HUM_1,0.50,1,0.01,0.01,0.01,0.01,0.1,0.3
DHM11,36,38,HUM_1,0.50,1,0.05,0.05,0.05,0.05,0.1,0.3
DHM12,39,71,HUM_1,0.50,1,0.04,0.04,0.04,0.04,0.1,0.3
DHM13,22,21,HUM_1,0.50,1,0.02,0.02,0.02,0.02,0.1,0.3
DHM14,14,10,HUM_1,0.50,1,0.01,0.01,0.01,0.01,0.1,0.3
DHM2,37,38,HUM_1,0.50,1,0.03,0.03,0.03,0.03,0.1,0.3
DHM3,38,39,HUM_1,0.50,1,0.03,0.03,0.03,0.03,0.1,0.3
DHM4,30,67,HUM_1,0.50,1,0.04,0.04,0.04,0.04,0.1,0.3
DHM5,25,67,HUM_1,0.50,1,0.03,0.03,0.03,0.03,0.1,0.3
DHM6,32,72,HUM_1,0.50,1,0.03,0.03,0.03,0.03,0.1,0.3
DHM7,11,2,HUM_1,0.50,1,0.02,0.02,0.02,0.02,0.1,0.3
DHM8,12,73,HUM_1,0.50,1,0.04,0.04,0.04,0.04,0.1,0.3
DHM9,74,59,HUM_1,0.50,1,0.02,0.02,0.02,0.02,0.1,0.3
DHP1,50,47,HUM_1,0.50,1,1.60,1.60,1.60,1.60,0.1,0.3
DHP2,30,30,HUM_1,0.50,1,0.35,0.35,0.35,0.35,0.1,0.3
DHP3,30,30,HUM_1,0.50,1,0.25,0.25,0.25,0.25,0.1,0.3
DIM1,37,38,IND_1,0.50,3,0.01,0.01,0.01,0.01,0.1,0.3
DIM2,39,39,IND_1,0.50,3,0.02,0.02,0.02,0.02,0.1,0.3
DRM1,69,62,RIE_1,0.10,2,0.08,0.08,0.08,0.08,0.1,0.3
DRM10,58,60,RIE_1,0.10,2,0.05,0.05,0.05,0.05,0.1,0.3
DRM11,57,55,RIE_1,0.10,2,0.09,0.09,0.09,0.09,0.1,0.3
DRM12,61,60,RIE_1,0.10,2,0.03,0.03,0.03,0.03,0.1,0.3
DRM13,59,44,RIE_1,0.10,2,0.06,0.06,0.06,0.06,0.1,0.3
DRM14,44,49,RIE_1,0.10,2,0.05,0.05,0.05,0.05,0.1,0.3
DRM15,51,49,RIE_1,0.10,2,0.41,0.41,0.41,0.41,0.1,0.3
DRM16,43,50,RIE_1,0.10,2,0.23,0.23,0.23,0.23,0.1,0.3
DRM17,50,47,RIE_1,0.10,2,0.13,0.13,0.13,0.13,0.1,0.3
DRM18,48,47,RIE_1,0.10,2,0.08,0.08,0.08,0.08,0.1,0.3
DRM19,47,45,RIE_1,0.10,2,0.02,0.02,0.02,0.02,0.1,0.3
DRM2,56,62,RIE_1,0.10,2,0.08,0.08,0.08,0.08,0.1,0.3
DRM20,46,45,RIE_1,0.10,2,0.43,0.43,0.43,0.43,0.1,0.3
DRM21,45,34,RIE_1,0.10,2,0.07,0.07,0.07,0.07,0.1,0.3
DRM22,36,38,RIE_1,0.10,2,0.32,0.32,0.32,0.32,0.1,0.3
DRM23,37,38,RIE_1,0.10,2,0.91,0.91,0.91,0.91,0.1,0.3
DRM24,38,39,RIE_1,0.10,2,0.25,0.25,0.25,0.25,0.1,0.3
DRM25,39,71,RIE_1,0.10,2,0.03,0.03,0.03,0.03,0.1,0.3
DRM26,34,31,RIE_1,0.10,2,0.44,0.44,0.44,0.44,0.1,0.3
DRM27,28,30,RIE_1,0.10,2,0.23,0.23,0.23,0.23,0.1,0.3
